patent_id,title,abstract,patent_date,organization
11212952,Drive over mower deck automatic locking mechanism,"A drive over mower deck automatic locking mechanism includes a lift frame engaging a drive over mower deck, and a pair of locking plates pivotably connected to the lift frame. The locking plates lock the drive over mower deck to the lift frame when the lift frame raises the drive over mower deck to a mowing or transport position, and unlock the drive over mower deck from the lift frame when the lift frame lowers the drive over mower deck to an installation position.",2022-01-04,Deere & Company
11212953,Vehicle attachment carrier loading guidance,"A vehicle attachment carrier loading guidance system may include a sensor for being supported by vehicle supporting a removable attachment having a mount interface for interacting with a mount on an attachment carrier distinct from the vehicle, wherein the sensor is output steering angle signals. The system may further comprise a controller to output presentation signals based upon the steering angle signals. The presentation signals are to generate a visual representation of a projected path of the mount interface with respect to the mount.",2022-01-04,Deere & Company
11212954,Apparatus and methods for field operations based on historical field operation data,"Methods, apparatus, systems and articles of manufacture are disclosed for field operations based on historical field operation data. An example apparatus disclosed herein includes a guidance line generator to generate a guidance line for operation of a vehicle during a second operation on a field, the guidance line based on (1) a field map generated from location data collected during a first operation in the field, the field map including a plurality of crop rows and (2) an implement of the vehicle, the implement to perform the second operation on the field. The example apparatus further includes a drive commander to cause the vehicle to traverse the field along the guidance line, and an implement commander to cause the implement to perform the second operation as the vehicle traverses the field along the guidance line.",2022-01-04,Deere & Company
11212955,System and method for monitoring soil conditions based on data received from a sensor mounted within a ground-engaging tool tooth,"In one aspect, a system for monitoring soil composition within a field using an agricultural machine may include a ground-engaging tool configured to rotate relative to soil within a field as the agricultural machine is moved across the field. The ground-engaging tool may, in turn, include a tooth defining a cavity therein, with the cavity including an opening. Furthermore, the system may include a sensor positioned within the cavity, with the sensor configured emit an output signal through the opening for reflection off of the soil within the field. The sensor may also be configured to detect the reflected output signal as a return signal, with a parameter of the return signal being indicative of a soil composition of the soil within the field.",2022-01-04,CNH Industrial America LLC
11212956,Growing seed quilts,"A quilted composite sheet containing seeds makes growing microgreens and other crops simple. Each sheet is a layered composite of multiple materials including seed, grow substrate and seed cover. A user can spread a seed quilt over the surface to be planted, water, wait, and harvest.",2022-01-04,"Hamama, Inc."
11212957,"Air entrainment device, systems, methods, and apparatus","A planter includes a seed a delivery system for delivering seed from one or more hoppers to one or more row units of the planter. The seed delivery system includes a number of seed entrainers. The seed entrainers receive seed from the one or more hoppers. The seed is combined with a fluid, such as air, which moves the seed through the seed entrainer and towards one or more row units of the planter. The entrainer includes one or more outlets, with the outlets corresponding to different row units, and the outlets can be varied based upon the need of seed delivery for the planter.",2022-01-04,"Kinze Manufacturing, Inc."
11212958,Peanut digger-shaker-inverter,"A digger-shaker-inverter for harvesting root plants includes a frame and a row unit. The row unit includes a first belt driving assembly and a second belt driving assembly. The first belt driving assembly includes a first carrying belt that grips a first side of a vine and a fixed bracket that supports the first carrying belt. The second belt drive assembly include a second carrying belt that grips a second side of the vine, and an adjustable bracket that supports the second carrying belt and adjust to control a distance between the first carrying belt and the second carrying belt.",2022-01-04,"Fehr's Industrial Manufacturing, LLC"
11212959,Boom mower,"A boom mower attachment that moves a cutting mechanism in a first movement, a second movement, and a third movement by only using two motions of a single control and method of use thereof is provided. The boom mower may include a frame, a boom assembly carried by the frame, a cutting mechanism operably engaged with the boom assembly, and at least one translation assembly operably engaged with the boom assembly and the cutting mechanism that moves the cutting mechanism in one or more of the first movement, the second movement, and the third movement. An implement control system including a control, at least one function switching mechanism, and an implement is also provided. Activation of the control is operative to move the implement in a first mode, a second mode, and a third mode by only using two motions of the control.",2022-01-04,"Venture Products, Inc."
11212960,Reel mower cutting unit steering limiters,"A pair of reel mower cutting unit steering limiters including a pair of pivoting members that may be independently pivoted between an engaged position providing a full range of steering of a reel mower cutting unit in a first direction on a vertical yaw axis, and a disengaged position reducing the steering of the reel mower cutting unit in the first direction. The maximum steering angle may be independently adjustable in each direction.",2022-01-04,Deere & Company
11212961,Drive-over mower deck with retractable front rollers,"A drive-over mower deck includes at least one retractable front roller which is pivotable between a lowered position extending forwardly and downwardly from a rim at a front and center of the drive-over mower deck, and a retractable position in which the front roller pivots freely between the lowered position and a retracted position when the drive-over mower deck lays flat on a ground surface.",2022-01-04,Deere & Company
